market,symbol,name,yf_ticker
KOSPI,000270,기아,000270.KS
KOSPI,000660,SK하이닉스,000660.KS
KOSPI,000810,삼성화재,000810.KS
KOSPI,003490,대한항공,003490.KS
KOSPI,003550,LG,003550.KS
KOSPI,003670,포스코퓨처엠,003670.KS
KOSPI,005380,현대차,005380.KS
KOSPI,005490,POSCO홀딩스,005490.KS
KOSPI,005930,삼성전자,005930.KS
KOSPI,006400,삼성SDI,006400.KS
KOSPI,009150,삼성전기,009150.KS
KOSPI,009540,HD한국조선해양,009540.KS
KOSPI,010130,고려아연,010130.KS
KOSPI,010140,삼성중공업,010140.KS
KOSPI,010950,S-Oil,010950.KS
KOSPI,011200,HMM,011200.KS
KOSPI,012330,현대모비스,012330.KS
KOSPI,012450,한화에어로스페이스,012450.KS
KOSPI,0126Z0,삼성에피스홀딩스,0126Z0.KS
KOSPI,015760,한국전력,015760.KS
KOSPI,017670,SK텔레콤,017670.KS
KOSPI,018260,삼성에스디에스,018260.KS
KOSPI,024110,기업은행,024110.KS
KOSPI,028260,삼성물산,028260.KS
KOSPI,030200,KT,030200.KS
KOSPI,032830,삼성생명,032830.KS
KOSPI,033780,KT&G,033780.KS
KOSPI,034020,두산에너빌리티,034020.KS
KOSPI,034730,SK,034730.KS
KOSPI,035420,NAVER,035420.KS
KOSPI,035720,카카오,035720.KS
KOSPI,042660,한화오션,042660.KS
KOSPI,047050,포스코인터내셔널,047050.KS
KOSPI,051910,LG화학,051910.KS
KOSPI,055550,신한지주,055550.KS
KOSPI,064350,현대로템,064350.KS
KOSPI,066570,LG전자,066570.KS
KOSPI,068270,셀트리온,068270.KS
KOSPI,086790,하나금융지주,086790.KS
KOSPI,096770,SK이노베이션,096770.KS
KOSPI,105560,KB금융,105560.KS
KOSPI,207940,삼성바이오로직스,207940.KS
KOSPI,259960,크래프톤,259960.KS
KOSPI,267260,HD현대일렉트릭,267260.KS
KOSPI,298040,효성중공업,298040.KS
KOSPI,316140,우리금융지주,316140.KS
KOSPI,323410,카카오뱅크,323410.KS
KOSPI,329180,HD현대중공업,329180.KS
KOSPI,352820,하이브,352820.KS
KOSPI,373220,LG에너지솔루션,373220.KS
KOSPI,402340,SK스퀘어,402340.KS
KOSPI,450080,에코프로머티,450080.KS
